Shaun Marsh,68.44,139.68
Saurabh Tiwary,23.88,112.35
Ravindra Jadeja,15.92,126.49
Azhar Mahmood,23.25,130.99
Irfan Pathan,25.14,139.68
Adam Gilchrist,34.4,120.28
Dwayne Smith,39.25,160.2
Yogesh Nagar,30.4,114.29
Daniel Christian,29,122.88
Manish Pandey,20.43,127.68
Nitin Saini,14,99.29
Venugopal Rao,22,104.76
Angelo Mathews,18.14,117.59
Debabrata Das,42,135.48
Marlon Samuels,17.71,100.81
Mithun Manhas,30,125
Daniel Harris,27.75,109.9
Harbhajan Singh,12,135
Albie Morkel,15.29,157.35
Piyush Chawla,13.25,120.45
David Miller,32.67,130.67
Michael Clarke,16.33,104.26
Shakib Al Hasan,15.17,122.97
Stuart Binny,22.5,134.33
Anustup Majumdar,21.75,114.47
Gurkeerat Singh Mann,28.67,165.38
Richard Levi,13.83,113.7
Herschelle Gibbs,40.5,92.05
Laxmi Shukla,12.5,131.58
Akshath Reddy,24.33,123.73
Bipul Sharma,24,153.19
Shreevats Goswami,13.8,102.99
Vinay Kumar,13.6,109.68
Siddharth Chitnis,22,106.45
Johan Botha,14.5,107.41
Aaron Finch,27.5,107.84
Lasith Malinga,9.17,103.77
Callum Ferguson,12.5,79.37
Andre Russell,23.5,180.77
Andrew McDonald,23.5,134.29
Abhishek Nayar,15,91.84
Brett Lee,21,210
Bhuvneshwar Kumar,13.33,100
Kevon Cooper,19,190
Bharath Chipli,12.33,105.71
Unmukt Chand,18,105.88
Pawan Negi,18,124.14
Praveen Kumar,11.67,116.67
Rajat Bhatia,11.67,125
Ashish Reddy,8.75,120.69
Robin Peterson,10.67,106.67
Daniel Vettori,7.75,119.23
Paul Valthaty,5,58.82
Michael Hussey,52.36,129.51
Chris Gayle,59,156.29
Virat Kohli,45.29,138.73
Suresh Raina,42.15,150.14
Shane Watson,38.79,142.89
Rohit Sharma,38.43,131.54
Dinesh Karthik,28.33,124.09
Ajinkya Rahane,34.86,106.55
Rahul Dravid,29.44,110.82
MS Dhoni,41.91,162.9
Aaron Finch,32.57,135.71
Robin Uthappa,27.12,116.98
Kieron Pollard,42,149.47
David Miller,59.71,164.57
Dwayne Smith,32.15,122.58
David Warner,31.54,126.93
Gautam Gambhir,25.44,118.66
AB de Villiers,36,164.38
Yusuf Pathan,30.18,138.33
Mahela Jayawardene,22.07,105.75
Murali Vijay,22.29,109.09
Jacques Kallis,20.73,96.58
Shikhar Dhawan,38.88,122.92
Eoin Morgan,27.91,127.92
Shaun Marsh,37.5,120.48
Virender Sehwag,24.58,126.61
Parthiv Patel,22.62,115.29
Adam Gilchrist,24.5,128.38
Brad Hodge,41.86,134.4
Stuart Binny,32.56,147.24
Sachin Tendulkar,22.08,124.24
Ambati Rayudu,18.93,114.72
Mandeep Singh,20,116.59
Manvinder Bisla,19.62,108.05
Hanuma Vihari,17.21,86.69
Yuvraj Singh,19.83,125.26
David Hussey,23.5,112.44
Thisara Perera,23.3,142.94
Cameron White,17.42,109.42
Sanju Samson,25.75,115.73
Ravindra Jadeja,25.12,148.89
Azhar Mahmood,19.6,127.27
Ben Rohrer,32.17,137.86
Darren Sammy,29,131.82
Angelo Mathews,24.57,123.74
Moises Henriques,41.25,132
Manan Vohra,20.12,137.61
Steven Smith,39.75,120.45
Unmukt Chand,17.56,100
Kedar Jadhav,21.71,122.58
Manoj Tiwary,18.25,104.29
Irfan Pathan,17.75,93.42
Mitchell Marsh,20.14,133.02
Manish Pandey,22.67,99.27
Ashish Reddy,20.83,140.45
Dishant Yagnik,15.62,130.21
Manpreet Juneja,17.86,97.66
S Badrinath,17.71,102.48
Aditya Tare,24.6,146.43
Biplab Samantray,24.6,110.81
Dwayne Bravo,15.12,114.15
Kumar Sangakkara,13.33,88.24
Harbhajan Singh,19.33,146.84
Rajagopal Sathish,21.8,141.56
Saurabh Tiwary,27.25,102.83
Gurkeerat Singh Mann,13.5,113.68
Luke Wright,21.2,176.67
Rajat Bhatia,16.5,123.75
Cheteshwar Pujara,23,92.93
Akshath Reddy,13,90.1
Amit Mishra,14.83,92.71
Ryan ten Doeschate,28.33,134.92
Karn Sharma,21.25,98.84
Tillakaratne Dilshan,15.2,81.72
Debabrata Das,15,101.35
Vinay Kumar,70,159.09
Wriddhiman Saha,23.33,125
Mayank Agarwal,13.4,108.06
Abhishek Nayar,11,90.41
Piyush Chawla,10.67,112.28
Ross Taylor,12.6,82.89
Luke Pomersbach,29,98.31
James Faulkner,11.4,100
Morne Morkel,11.4,196.55
Dale Steyn,26.5,147.22
Tirumalsetti Suman,10.4,89.66
Ricky Ponting,10.4,69.33
Bhuvneshwar Kumar,7.43,73.24
Praveen Kumar,7.83,120.51
Albie Morkel,15.33,124.32
Manpreet Gony,11.25,180
CM Gautam,22,129.41
Johan Botha,7.17,82.69
Arun Karthik,13.67,107.89
Mitchell Johnson,9.75,108.33
Kevon Cooper,9.75,177.27
Umesh Yadav,38,100
Ravi Rampaul,9.5,102.7
Glenn Maxwell,18,133.33
Ravichandran Ashwin,8.75,71.43
Robin Uthappa,44,137.79
Dwayne Smith,35.38,136.06
Glenn Maxwell,34.5,187.76
David Warner,48,140.8
Suresh Raina,40.23,145.68
Virender Sehwag,26.76,144.44
David Miller,44.6,149.16
Jean-Paul Duminy,51.25,134.43
Brendon McCullum,31.15,121.62
Manish Pandey,30.85,117.94
AB de Villiers,35.91,158.63
Lendl Simmons,56.29,135.4
Rohit Sharma,30,129.14
Shikhar Dhawan,29,118.18
Yuvraj Singh,34.18,135.25
MS Dhoni,74.2,148.4
Wriddhiman Saha,32.91,145.38
Ambati Rayudu,25.79,125.78
Virat Kohli,27.62,122.11
Ajinkya Rahane,28.25,116.49
Sanju Samson,26.08,124.18
Gautam Gambhir,22.33,114.33
Karun Nair,33,142.24
Dinesh Karthik,23.21,125.97
Manan Vohra,40.5,139.06
Aaron Finch,28.09,117.49
Faf du Plessis,27.55,128.94
Kevin Pietersen,29.4,126.18
Kieron Pollard,34.12,134.48
Yusuf Pathan,29.78,162.42
Corey Anderson,29.44,146.41
George Bailey,28.56,135.26
Shane Watson,20,122.45
Naman Ojha,38.67,144.1
Shakib Al Hasan,32.43,149.34
Michael Hussey,23.22,114.84
Murali Vijay,18.82,107.81
Parthiv Patel,20.5,110.81
Chris Gayle,21.78,106.52
James Faulkner,45.25,192.55
Lokesh Rahul,20.75,101.22
Suryakumar Yadav,32.8,140.17
Quinton de Kock,21.86,117.69
Manoj Tiwary,30.4,128.81
Jacques Kallis,25.17,117.05
Kedar Jadhav,29.8,147.52
Steven Smith,36.75,133.64
Ravindra Jadeja,29.2,132.73
Aditya Tare,15.75,128.57
Cheteshwar Pujara,25,100.81
Stuart Binny,12.3,101.65
CM Gautam,17.29,109.01
David Hussey,58,123.4
Mayank Agarwal,14.38,126.37
Darren Sammy,15.43,118.68
Yogesh Takawale,20.8,114.29
Brad Hodge,33.67,140.28
Mitchell Starc,14.17,101.19
Rishi Dhawan,41,109.33
Sachin Rana,24.33,112.31
Venugopal Rao,23.67,112.7
Shaun Marsh,35,134.62
Rajat Bhatia,13.4,126.42
Axar Patel,10.33,103.33
Ross Taylor,19.67,100
Chris Lynn,29,118.37
Mitchell Johnson,18.67,112
Irfan Pathan,27.5,101.85
Ryan ten Doeschate,13,157.58
Albie Morkel,15,109.76
Ravichandran Ashwin,15,100
Abhishek Nayar,14.33,91.49
Karn Sharma,10.5,144.83
James Neesham,14,91.3
Ben Dunk,13.33,114.29
Rilee Rossouw,13,95.12
Kevon Cooper,13,150
Varun Aaron,-,102.94
Mithun Manhas,17.5,152.17
Dhawal Kulkarni,-,140
Ankit Sharma,17,113.33
Laxmi Shukla,10.33,81.58
Piyush Chawla,10.33,163.16
Vijay Zol,14.5,111.54
Harbhajan Singh,5.6,112
Mandeep Singh,8,92.31
Dale Steyn,7.33,84.62
Rahul Shukla,18,85.71
Rahul Tewatia,16,123.08
Jason Holder,16,133.33
Nic Maddinson,8,114.29
Ravi Rampaul,13,100
Harshal Patel,6.5,185.71
Shreyas Gopal,11,110
Sunil Narine,5,71.43
Moises Henriques,4.5,64.29
Ben Cutting,8,133.33
Zaheer Khan,8,114.29
Dwayne Bravo,-,266.67
Imran Tahir,4,80
David Warner,43.23,156.55
Lendl Simmons,45,122.45
Ajinkya Rahane,49.09,130.75
AB de Villiers,46.64,175.09
Virat Kohli,45.91,130.83
Chris Gayle,40.92,147.45
Rohit Sharma,34.43,144.74
Shreyas Iyer,33.77,128.36
Brendon McCullum,33.54,155.71
Kieron Pollard,38.09,163.67
Jean-Paul Duminy,41.4,131.43
Dwayne Smith,24.94,119.1
Faf du Plessis,29.23,125
Suresh Raina,24.93,122.62
MS Dhoni,31,121.97
Robin Uthappa,30.33,131.41
David Miller,32.45,134.21
Shikhar Dhawan,27.15,123.43
Shane Watson,43.38,135.02
Parthiv Patel,26.08,137.8
Andre Russell,36.67,195.27
Gautam Gambhir,25.15,117.63
Yusuf Pathan,44.57,135.06
Steven Smith,26.64,132.58
Moises Henriques,41,136.02
Ambati Rayudu,31.22,145.6
George Bailey,23.55,136.32
Murali Vijay,22.82,110.09
Yuvraj Singh,19.15,118.57
Wriddhiman Saha,19.15,126.4
Manish Pandey,20.45,122.28
Mayank Agarwal,23.67,120.34
Axar Patel,22.89,118.39
Sanju Samson,20.4,125.15
Dwayne Bravo,21.67,131.76
Kedar Jadhav,23.62,135
Eoin Morgan,23.38,123.84
Karun Nair,16.45,124.83
Suryakumar Yadav,17.44,138.94
Mandeep Singh,22.43,157
Deepak Hooda,16.78,158.95
Glenn Maxwell,13.18,129.46
Ravi Bopara,29,120.83
Angelo Mathews,20.57,138.46
James Faulkner,18,132.11
Lokesh Rahul,28.4,112.7
Dinesh Karthik,12.82,120.51
Naman Ojha,13.7,113.22
Ravindra Jadeja,18.86,104.76
Quinton de Kock,40.67,158.44
David Wiese,30.5,141.86
Harbhajan Singh,16.71,160.27
Pawan Negi,14.5,158.9
Corey Anderson,38,117.53
Hardik Pandya,22.4,180.65
Sarfaraz Khan,27.75,156.34
Saurabh Tiwary,-,139.74
Karn Sharma,17.33,122.35
Unmukt Chand,20.4,122.89
Virender Sehwag,12.38,117.86
Albie Morkel,86,132.31
Manan Vohra,11.71,101.23
Shaun Marsh,20.25,139.66
Michael Hussey,19.25,110
Chris Morris,38,165.22
Stuart Binny,18.5,112.12
Ashish Reddy,24.33,158.7
Ryan ten Doeschate,20.33,135.56
Manoj Tiwary,28.5,101.79
Piyush Chawla,13.5,114.89
Ravichandran Ashwin,17.33,162.5
Jagadeesha Suchith,48,150
Hanuma Vihari,9.75,111.43
Manvinder Bisla,18.5,123.33
Shakib Al Hasan,12,133.33
Rishi Dhawan,18,109.09
Gurkeerat Singh Mann,7,89.74
Johan Botha,10.33,206.67
Mitchell Johnson,7.75,86.11
Kane Williamson,31,114.81
Umesh Yadav,29,207.14
Mohit Sharma,9.33,155.56
Aaron Finch,11.5,69.7
Iqbal Abdulla,10,111.11
Nathan Coulter-Nile,5,111.11
Dale Steyn,20,153.85
Harshal Patel,3.8,158.33
Anureet Singh,6,58.06
Bhuvneshwar Kumar,17,170
Praveen Kumar,5.67,68
Sean Abbott,7.5,115.38
Aditya Tare,7,82.35
Rilee Rossouw,7,140
Mitchell McClenaghan,13,216.67
Tim Southee,13,144.44
Darren Sammy,6.5,72.22
Thisara Perera,6,80
Mitchell Starc,11,78.57
Karanveer Singh,11,68.75
Abu Nechim,10,200
Virat Kohli,81.08,152.03
David Warner,60.57,151.43
AB de Villiers,52.85,168.8
Shikhar Dhawan,38.54,116.78
Gautam Gambhir,38.54,121.9
Rohit Sharma,44.45,132.88
Ajinkya Rahane,43.64,126.65
Murali Vijay,34.85,124.45
Quinton de Kock,37.08,136.09
Suresh Raina,28.5,127.88
Lokesh Rahul,44.11,146.49
Robin Uthappa,26.27,136.33
Aaron Finch,39.3,131.44
Yusuf Pathan,72.2,145.56
Karun Nair,35.7,120.2
Brendon McCullum,22.12,135.11
Dinesh Karthik,25.77,125.94
Ambati Rayudu,30.36,120.14
Dwayne Smith,29.45,146.61
Sanju Samson,26.45,112.36
MS Dhoni,40.57,135.24
Wriddhiman Saha,24.55,127.36
Steven Smith,45,153.41
Jos Buttler,23.18,138.59
Manish Pandey,31,135.52
Krunal Pandya,39.5,191.13
Yuvraj Singh,26.22,131.84
Chris Gayle,22.7,151.33
Kieron Pollard,26,144.44
Faf du Plessis,34.33,127.16
Rishabh Pant,24.75,130.26
Chris Morris,65,178.9
Ravindra Jadeja,21.22,107.91
Jean-Paul Duminy,38.2,122.44
Andre Russell,26.86,164.91
Suryakumar Yadav,26,127.27
Moises Henriques,15.17,115.19
Shane Watson,13.77,133.58
Glenn Maxwell,19.89,144.35
Parthiv Patel,17.7,116.45
Saurabh Tiwary,24.29,120.57
Manan Vohra,23,122.9
David Miller,16.1,122.9
Shaun Marsh,31.8,118.66
Hashim Amla,26.17,131.93
Thisara Perera,21.43,161.29
Marcus Stoinis,36.5,135.19
Deepak Hooda,10.29,119.01
Naman Ojha,13.6,98.55
Usman Khawaja,21.17,127
Kane Williamson,20.67,101.64
Eoin Morgan,24.6,117.14
Sachin Baby,29.75,150.63
Shakib Al Hasan,22.8,107.55
Gurkeerat Singh Mann,22.6,131.4
Axar Patel,15.86,144.16
Nitish Rana,34.67,138.67
Dwayne Bravo,12.38,120.73
Harbhajan Singh,30.67,109.52
Sam Billings,22,137.5
George Bailey,21,85.71
Carlos Brathwaite,13.83,218.42
James Faulkner,25.67,130.51
Kevin Pietersen,36.5,119.67
Sarfaraz Khan,33,212.9
Ben Cutting,32.5,191.18
Stuart Binny,15.75,161.54
Pawan Negi,28.5,96.61
Martin Guptill,19,103.64
Travis Head,27,135
Bipul Sharma,25.5,204
Ashish Reddy,23.5,162.07
Hardik Pandya,6.29,69.84
Bhuvneshwar Kumar,7.17,159.26
Kedar Jadhav,-,131.25
Ishan Kishan,8.4,102.44
Ravichandran Ashwin,20.5,107.89
Iqbal Abdulla,-,137.04
Karn Sharma,-,120
Rajat Bhatia,34,170
Mitchell McClenaghan,11.33,147.83
Mohit Sharma,8,123.08
Tim Southee,10,157.89
Shreyas Iyer,5,69.77
Colin Munro,10,100
Piyush Chawla,9,103.85
Dhawal Kulkarni,13.5,168.75
Mayank Agarwal,9,108
Chris Lynn,25,113.64
Eklavya Dwivedi,12,171.43
Rajagopal Sathish,8,100
Praveen Kumar,6,92.31
Nikhil Naik,11.5,74.19
Jason Holder,5.5,115.79
Akshdeep Nath,6.67,74.07
Pardeep Sahu,19,146.15
Albie Morkel,16,177.78
Farhaan Behardien,7,107.69
Rishi Dhawan,-,233.33
Vinay Kumar,13,108.33
